iter	Passed	Remaining
400	6266	9361
401	6279	9340
402	6290	9318
403	6301	9296
404	6312	9274
405	6323	9251
406	6334	9228
407	6344	9206
408	6355	9183
409	6366	9161
410	6377	9139
411	6388	9117
412	6399	9095
413	6410	9074
414	6422	9052
415	6433	9031
416	6444	9010
417	6456	8989
418	6467	8967
419	6477	8944
420	6488	8923
421	6499	8901
422	6509	8880
423	6521	8858
424	6531	8837
425	6542	8816
426	6553	8794
427	6564	8773
428	6575	8751
429	6586	8731
430	6597	8710
431	6609	8689
432	6619	8668
433	6630	8647
434	6642	8627
435	6653	8606
436	6664	8586
437	6675	8565
438	6686	8544
439	6697	8523
440	6708	8503
441	6719	8482
442	6730	8462
443	6741	8442
444	6752	8421
445	6763	8400
446	6773	8380
447	6784	8359
448	6796	8339
449	6806	8319
450	6818	8299
451	6828	8278
452	6839	8258
453	6850	8238
454	6861	8218
455	6872	8198
456	6882	8177
457	6893	8158
458	6905	8138
459	6916	8119
460	6926	8098
461	6937	8078
462	6947	8058
463	6958	8038
464	6970	8019
465	6980	7999
466	6991	7979
467	7002	7960
468	7013	7940
469	7023	7920
470	7035	7901
471	7045	7881
472	7055	7861
473	7066	7841
474	7077	7822
475	7087	7802
476	7098	7783
477	7108	7763
478	7119	7743
479	7130	7725
480	7142	7706
481	7153	7687
482	7164	7669
483	7176	7650
484	7187	7631
485	7198	7613
486	7209	7594
487	7220	7575
488	7231	7557
489	7242	7538
490	7253	7519
491	7263	7499
492	7274	7480
493	7285	7462
494	7296	7444
495	7307	7425
496	7318	7407
497	7329	7388
498	7340	7370
499	7351	7351
500	7361	7332
501	7372	7314
502	7383	7295
503	7394	7277
504	7406	7259
505	7418	7242
506	7428	7223
507	7439	7205
508	7451	7187
509	7462	7169
510	7472	7150
511	7484	7133
512	7494	7114
513	7506	7098
514	7517	7079
515	7530	7063
516	7546	7050
517	7558	7032
518	7569	7015
519	7580	6997
520	7591	6979
521	7603	6962
522	7614	6944
523	7624	6926
524	7635	6908
525	7647	6891
526	7659	6874
527	7673	6859
528	7685	6843
529	7697	6826
530	7708	6808
531	7721	6792
532	7734	6776
533	7745	6759
534	7757	6742
535	7768	6725
536	7779	6707
537	7790	6689
538	7800	6671
539	7811	6654
540	7823	6637
541	7835	6620
542	7846	6603
543	7857	6586
544	7867	6568
545	7878	6550
546	7889	6533
547	7899	6516
548	7910	6498
549	7922	6481
550	7933	6464
551	7944	6447
552	7955	6430
553	7966	6413
554	7977	6396
555	7988	6379
556	7998	6361
557	8009	6344
558	8020	6327
559	8031	6310
560	8042	6293
561	8053	6276
562	8064	6259
563	8075	6242
564	8085	6225
565	8096	6208
566	8107	6191
567	8118	6174
568	8130	6158
569	8141	6141
570	8152	6124
571	8163	6108
572	8173	6091
573	8184	6074
574	8195	6057
575	8206	6041
576	8217	6024
577	8228	6007
578	8239	5990
579	8250	5974
580	8261	5958
581	8272	5941
582	8283	5924
583	8294	5908
584	8305	5891
585	8316	5875
586	8326	5858
587	8337	5841
588	8347	5825
589	8358	5808
590	8369	5791
591	8380	5775
592	8390	5759
593	8401	5742
594	8413	5726
595	8424	5710
596	8436	5695
597	8448	5679
598	8458	5662
599	8469	5646
600	8480	5629
601	8490	5613
602	8501	5597
603	8512	5581
604	8523	5565
605	8534	5548
606	8546	5533
607	8557	5517
608	8567	5500
609	8579	5485
