iter	Logloss
0	0.6370731385
1	0.5873978318
2	0.5454251802
3	0.5076001029
4	0.478588432
5	0.4529517261
6	0.4285141185
7	0.4107498277
8	0.3963546762
9	0.3825154798
10	0.3670362361
11	0.355554904
12	0.3426625479
13	0.3349545904
14	0.3261087897
15	0.3147984983
16	0.3000239198
17	0.2930448487
18	0.2821396816
19	0.2753316741
20	0.2686874463
21	0.2639397566
22	0.2577125284
23	0.2492527728
24	0.2436885101
25	0.2370876607
26	0.2338412367
27	0.2271462413
28	0.2237413678
29	0.2176981891
30	0.2133285729
31	0.2114441065
32	0.2085916574
33	0.2046135316
34	0.1998082525
35	0.1951366161
36	0.1927526487
37	0.1892655125
38	0.188034445
39	0.1857358246
40	0.1821770907
41	0.1808966472
42	0.1763032324
43	0.1737943334
44	0.1697475436
45	0.1668719176
46	0.1647504629
47	0.16173996
48	0.1598163982
49	0.1577109856
50	0.1565772885
51	0.1544736277
52	0.1520123825
53	0.1506863942
54	0.1488175707
55	0.1481188445
56	0.146364816
57	0.1445766834
58	0.1438128907
59	0.1429200261
60	0.1417584064
61	0.1410056162
62	0.1382934733
63	0.1370114078
64	0.1360316513
65	0.1348083308
66	0.1337871183
67	0.1332323105
68	0.1325731829
69	0.1315979219
70	0.1294339941
71	0.1283425213
72	0.1276562444
73	0.1272011255
74	0.1262046727
75	0.1257259467
76	0.1249042147
77	0.124190528
78	0.123580058
79	0.1228929441
80	0.1223177089
81	0.1216235312
82	0.1212356629
83	0.1201081243
84	0.1196009512
85	0.11913924
86	0.1179580206
87	0.1171065948
88	0.116084704
89	0.1154144622
90	0.115043372
91	0.1148126789
92	0.1143529743
93	0.1140936241
94	0.1132957386
95	0.1126714224
96	0.1124137772
97	0.1119472151
98	0.1115140215
99	0.1111856614
100	0.1106339683
101	0.1104007359
102	0.1101747905
103	0.1096995684
104	0.1095191519
105	0.1092053964
106	0.1087521378
107	0.1085105931
108	0.1082945784
109	0.1078634237
110	0.1076725208
111	0.1073101929
112	0.1069776584
113	0.1062799783
114	0.1054745216
115	0.105046767
116	0.1048910484
117	0.1046429976
118	0.1041810762
119	0.1040321788
120	0.1036644419
121	0.1029128434
122	0.1027806558
123	0.1024285052
124	0.1022052062
125	0.1021108095
126	0.1018396515
127	0.1016243121
128	0.1015305538
129	0.1013882254
130	0.1011025215
